Filename	lab	bin_cloze	F7	F3	Fz	F4	F8	FC5	FC1	FC2	FC6	C3	Cz	C4	CP5	CP1	CP2	CP6	P7	P3	Pz	P4	P8	Oz
oxfo_nbin9	oxfo	89	0.48	0.50	1.19	1.23	0.60	0.68	1.76	1.50	0.32	1.63	1.89	1.43	1.53	2.26	1.99	1.55	1.15	2.11	2.28	1.97	1.28	1.92
stir_nbin1	stir	2	0.25	0.03	0.04	0.08	0.17	-0.12	-0.02	0.06	-0.05	-0.15	-0.01	0.04	-0.32	0.13	0.20	-0.03	-0.33	0.20	0.33	0.49	0.53	0.11
stir_nbin10	stir	96	0.07	0.76	0.93	1.06	0.62	0.38	1.04	1.25	0.74	1.21	1.36	1.28	0.92	1.60	1.59	1.21	0.74	1.69	1.59	1.73	1.47	1.01
stir_nbin2	stir	16	0.42	0.97	1.19	0.82	0.70	0.53	1.25	1.26	0.72	1.21	1.46	1.25	0.65	1.60	1.63	1.22	0.35	1.54	1.82	1.83	1.29	0.84
stir_nbin3	stir	27	-0.17	0.07	0.34	0.15	0.41	-0.02	0.28	0.52	0.47	0.71	0.69	1.14	0.82	1.00	1.06	0.87	0.88	1.15	0.92	0.96	0.63	0.39
stir_nbin4	stir	37	-0.38	0.44	0.21	0.30	-0.15	0.00	0.56	0.62	0.05	0.68	0.75	0.38	0.36	0.92	0.74	0.32	0.48	1.21	1.11	1.08	1.02	0.92
stir_nbin5	stir	49	-0.43	0.55	0.00	-0.09	-0.31	0.04	0.14	-0.70	-0.56	-0.22	-0.38	-0.61	-0.25	0.16	-0.17	-0.14	-0.14	0.27	0.30	0.43	0.58	0.29
stir_nbin6	stir	57	-0.24	0.38	0.46	0.87	0.07	0.44	1.45	1.50	0.58	1.98	2.52	1.84	1.22	2.97	2.86	1.54	1.01	2.98	3.11	2.81	1.89	2.11
stir_nbin7	stir	66	0.27	0.94	0.93	0.63	-0.68	0.82	1.27	1.03	0.06	1.68	1.40	0.96	1.81	2.13	1.54	0.97	1.76	2.63	1.76	1.69	1.19	1.53
stir_nbin8	stir	78	-0.53	0.18	0.61	0.36	0.08	-0.14	0.65	0.81	0.23	0.50	0.99	0.79	0.24	1.13	1.04	0.73	0.10	1.13	1.23	1.17	1.17	0.81
stir_nbin9	stir	89	0.28	1.14	1.14	1.08	0.45	0.62	1.48	1.45	0.68	1.66	1.86	1.46	1.25	2.16	1.98	1.18	1.16	2.29	2.12	2.09	1.44	1.38
bris_nbin1	bris	2	0.29	0.06	-0.28	-0.50	-0.50	-0.09	-0.04	-0.48	-0.76	-0.04	-0.52	-0.77	-0.14	-0.16	-0.48	-0.78	-0.08	0.18	-0.28	-0.34	-0.34	-0.44
bris_nbin10	bris	96	-0.06	1.00	1.19	1.21	0.41	0.39	1.46	1.48	0.85	1.39	1.71	1.59	1.19	1.96	1.87	1.36	1.27	2.27	2.00	2.12	1.60	1.22
bris_nbin2	bris	16	1.03	1.68	1.75	1.57	1.14	0.85	1.91	1.60	0.85	1.57	1.52	0.75	0.60	1.64	1.13	0.34	-0.11	1.13	1.17	0.88	0.21	-0.08
bris_nbin3	bris	27	0.20	0.67	0.56	0.47	-0.16	0.53	0.46	0.07	-0.10	1.04	0.39	0.22	0.86	1.17	0.74	0.02	0.71	1.57	1.10	0.66	-0.04	0.34
bris_nbin4	bris	37	-0.06	0.07	0.26	0.45	0.77	-0.16	0.06	0.21	0.49	0.25	0.13	0.39	0.27	0.66	0.59	0.34	0.36	1.01	0.72	0.90	0.48	-0.12
bris_nbin5	bris	49	1.34	1.23	0.70	-0.36	-0.11	0.94	1.66	1.01	-0.32	1.27	1.17	0.06	1.66	1.35	0.76	-0.54	1.09	1.78	1.61	0.48	0.23	0.97
bris_nbin6	bris	57	0.99	2.88	2.70	2.06	0.06	1.57	3.12	2.52	0.78	2.53	3.43	1.71	1.79	3.19	2.64	1.06	1.42	2.63	2.77	2.24	1.00	0.96
bris_nbin7	bris	66	-0.38	0.67	1.14	0.51	0.06	0.06	1.30	0.65	-0.26	1.66	1.52	0.43	2.13	2.11	1.37	0.81	2.14	2.96	1.78	1.86	1.83	1.38
bris_nbin8	bris	78	0.28	1.05	1.36	0.98	0.14	0.67	1.43	1.30	0.53	1.53	1.54	1.10	1.21	1.78	1.32	0.56	1.04	2.04	1.59	1.06	0.70	0.66
bris_nbin9	bris	89	0.20	1.22	1.54	1.46	0.70	0.88	1.94	1.91	0.91	1.86	2.28	1.69	1.69	2.54	2.31	1.32	1.41	2.76	2.49	2.07	1.38	1.38
