Filename	lab	bin_cloze	F7	F3	Fz	F4	F8	FC5	FC1	FC2	FC6	C3	Cz	C4	CP5	CP1	CP2	CP6	P7	P3	Pz	P4	P8	Oz
oxfo_abin9	oxfo	85	-2.17	-0.92	-0.8	0.04	-0.05	-1.33	-0.95	-0.44	0.33	-1.21	-0.47	0.18	-0.46	-0.61	-0.45	-0.06	-0.7	-0.51	-0.65	0.24	0.63	0.11
stir_abin1	stir	2	-0.27	-0.62	-0.67	-0.46	-0.2	-0.57	-0.54	-0.39	-0.25	-0.43	-0.22	-0.23	-0.39	-0.38	-0.31	-0.11	-0.11	-0.38	-0.48	-0.29	0.04	-0.09
stir_abin10	stir	95	-0.29	-0.44	-0.6	-0.26	-0.07	-0.7	-0.88	-0.68	-0.3	-0.82	-0.85	-0.45	-0.78	-0.97	-0.82	-0.31	-0.59	-1.01	-1.19	-0.66	-0.42	-0.77
stir_abin2	stir	15	-0.25	-0.27	-0.5	-0.5	-0.27	-0.5	-0.52	-0.61	-0.24	-0.53	-0.54	-0.6	-0.43	-0.67	-0.79	-0.41	-0.29	-0.63	-0.93	-0.73	-0.12	-0.42
stir_abin3	stir	26	-0.19	-0.51	-0.29	-0.29	-0.32	-0.88	-0.37	-0.33	-0.06	-0.65	-0.2	0.01	-0.63	-0.48	-0.17	0.26	-0.31	-0.63	-0.21	0.29	0.61	0.33
stir_abin4	stir	34	-0.2	-1.07	-1.83	-0.9	-0.19	-0.96	-2.01	-1.77	-0.85	-1.64	-2.04	-1.11	-1.05	-1.42	-1.55	-0.53	-0.13	-1.22	-1.79	-1.35	-0.66	-1.31
stir_abin6	stir	56	0.23	-0.18	-0.17	0.08	0.32	-0.19	-0.35	-0.36	0.21	-0.5	-0.57	-0.58	-0.61	-0.8	-0.79	-0.47	-0.72	-0.95	-0.97	-0.76	-0.58	-0.87
stir_abin7	stir	67	0.22	-0.16	0.07	-0.03	0.15	-0.28	-0.21	-0.18	-0.09	-0.36	-0.2	-0.37	-0.34	-0.45	-0.49	-0.33	-0.23	-0.62	-0.64	-0.5	-0.21	-0.19
stir_abin8	stir	75	-0.41	-1.15	-1.29	-0.95	-0.1	-1.04	-1.33	-1.22	-0.77	-1.24	-1.4	-1.25	-1.19	-1.31	-1.34	-0.94	-0.97	-1.32	-1.33	-1.2	-0.62	-0.67
stir_abin9	stir	85	-0.27	-0.55	-0.58	-0.33	0.04	-0.58	-0.69	-0.6	-0.12	-0.83	-0.61	-0.54	-0.8	-0.53	-0.43	-0.52	-0.55	-0.52	-0.21	-0.37	-0.3	-0.1
bris_abin1	bris	2	-1.33	-2.11	-2.22	-1.39	-0.47	-1.69	-1.89	-1.44	-0.76	-1.71	-1.23	-0.91	-1.52	-1.25	-0.92	-0.55	-0.33	-0.95	-1.07	-0.48	0.22	-0.02
bris_abin10	bris	95	-0.71	-1.09	-1.16	-0.76	-0.49	-1.05	-1.19	-0.93	-0.58	-1.08	-0.92	-0.75	-0.54	-0.79	-0.86	-0.52	0.35	-0.29	-0.91	-0.45	-0.02	-0.27
bris_abin2	bris	15	-0.65	-1.19	-1.50	-1.19	-0.64	-0.98	-1.20	-1.01	-0.71	-1.11	-0.86	-0.62	-0.96	-0.79	-0.75	-0.36	-0.21	-0.67	-1.02	-0.69	0.01	-0.17
bris_abin3	bris	26	-1.47	-2.00	-2.60	-2.15	-0.51	-1.84	-1.89	-1.94	-1.22	-1.78	-1.66	-1.52	-1.05	-1.29	-1.18	-0.61	0.31	-0.68	-0.74	-0.63	0.03	0.03
bris_abin4	bris	34	-0.93	-1.79	-1.70	-0.50	0.62	-2.01	-1.49	-0.43	0.24	-1.52	-0.56	0.46	-1.03	-0.91	0.23	0.61	-0.10	-0.91	-0.43	0.15	0.85	-0.08
bris_abin6	bris	56	-1.03	-1.72	-2.07	-1.99	-1.43	-1.36	-2.07	-2.01	-1.67	-1.61	-2.01	-1.83	-1.30	-1.82	-1.98	-1.21	-0.34	-1.28	-2.03	-1.34	-0.14	-0.70
bris_abin7	bris	67	-0.54	-1.08	-0.65	-0.43	-0.05	-0.92	-0.84	-0.58	-0.27	-0.83	-0.64	-0.32	-0.62	-0.68	-0.42	-0.08	-0.08	-0.44	-0.69	-0.33	0.10	-0.23
bris_abin8	bris	75	-0.48	-1.46	-1.61	-1.21	-0.71	-1.07	-1.70	-1.49	-0.95	-1.41	-1.77	-1.21	-0.99	-1.45	-1.35	-0.73	-0.40	-1.02	-1.53	-1.04	-0.23	-0.68
bris_abin9	bris	85	-0.18	-0.83	-0.76	-0.41	0.06	-0.34	-0.87	-0.63	0.00	-0.74	-0.84	-0.63	-0.34	-0.87	-0.81	-0.11	0.29	-0.47	-1.18	-0.66	0.32	-0.22
glas_abin1	glas	2	-0.90	-1.11	-1.71	-1.11	-0.48	-1.45	-1.64	-1.40	-0.83	-1.58	-1.32	-1.13	-1.61	-1.39	-1.11	-1.01	-0.88	-1.28	-1.26	-0.94	-0.54	-0.54
glas_abin10	glas	95	-0.17	-0.49	-0.73	-0.49	-0.14	-0.65	-0.94	-0.83	-0.35	-1.01	-1.09	-0.65	-0.80	-1.25	-0.83	-0.41	-0.25	-0.94	-1.09	-0.64	-0.18	-0.33
glas_abin2	glas	15	-0.10	-0.26	-0.62	-0.26	-0.07	-0.74	-0.75	-0.51	-0.07	-0.81	-0.49	-0.19	-0.68	-0.36	-0.20	0.10	-0.34	-0.24	-0.31	-0.04	0.42	0.42
