X0	F7	F3	Fz	F4	F8	FC5	FC1	FC2	FC6	C3	Cz	C4	CP5	CP1	CP2	CP6	P7	P3	Pz	P4	P8	Oz
birm	-0,3	-0,46	-0,38	-0,23	-0,6	-0,49	-0,48	-0,5	-0,49	-0,47	-0,55	-0,38	-0,38	-0,45	-0,51	-0,51	-0,14	-0,34	-0,41	-0,27	-0,37	-0,35
bris	0,69	0,71	0,67	0,44	0,01	0,64	0,47	0,27	0,16	0,61	0,04	-0,02	0,75	0,14	-0,13	-0,06	0,38	0,4	-0,22	-0,18	-0,25	-0,53
edin	-0,12	-0,29	-0,33	-0,43	-0,4	-0,43	-0,58	-0,54	-0,69	-0,77	-0,72	-0,67	-0,75	-0,75	-0,83	-0,87	-0,75	-0,92	-0,88	-0,89	-0,93	-0,62
glas	0,22	0,24	0,24	0,24	0,2	0,44	0,02	0,04	0,27	-0,13	-0,28	-0,12	0,01	-0,39	-0,32	-0,09	-0,02	-0,3	-0,41	-0,34	-0,2	-0,34
kent	0,51	0,39	0,31	0,14	0,04	0,27	0,08	-0,15	-0,08	-0,12	-0,39	-0,47	0,04	-0,58	-0,68	-0,72	-0,15	-0,6	-0,71	-0,74	-0,75	-0,69
lond	0,27	0,2	0,28	-0,17	0	0,29	0,16	0,14	0,23	0,11	-0,43	-0,54	0,45	-0,44	-0,68	-0,36	0,07	0,24	-0,48	-0,32	-0,53	0
oxfo	-0,08	0,33	0,36	0,41	0,39	0,27	0,35	0,24	0,14	0,11	0,23	0,05	0,13	0,08	0,1	-0,05	-0,32	0,1	-0,02	-0,06	-0,23	-0,31
stir	0,04	0	0,06	0,17	0,56	0,01	-0,09	-0,06	0	-0,19	-0,19	-0,27	-0,43	-0,28	-0,19	-0,47	-0,67	-0,4	-0,12	-0,22	-0,5	-0,22
york	0,31	0,14	0,07	0,02	0,08	0,23	-0,03	-0,03	-0,01	0,09	-0,22	0	0,24	-0,14	-0,17	-0,02	-0,07	0,02	-0,29	-0,21	-0,39	-0,56
