X0	F7	F3	Fz	F4	F8	FC5	FC1	FC2	FC6	C3	Cz	C4	CP5	CP1	CP2	CP6	P7	P3	Pz	P4	P8	Oz
birm	0,43	0,22	0,32	0,54	0,09	0,18	0,19	0,17	0,18	0,2	0,12	0,32	0,31	0,22	0,16	0,16	0,71	0,38	0,27	0,49	0,32	0,36
bris	0,04	0,03	0,05	0,23	0,97	0,06	0,2	0,49	0,67	0,08	0,91	0,96	0,02	0,72	0,74	0,87	0,31	0,29	0,57	0,64	0,52	0,15
edin	0,77	0,45	0,38	0,25	0,28	0,24	0,1	0,13	0,04	0,02	0,03	0,05	0,02	0,02	0,01	0	0,02	0	0	0	0	0,08
glas	0,57	0,54	0,53	0,54	0,61	0,24	0,96	0,92	0,47	0,74	0,46	0,77	0,98	0,3	0,4	0,82	0,95	0,43	0,27	0,38	0,61	0,36
kent	0,16	0,3	0,41	0,71	0,91	0,49	0,83	0,7	0,83	0,76	0,29	0,2	0,91	0,1	0,04	0,03	0,69	0,09	0,03	0,02	0,02	0,04
lond	0,49	0,61	0,47	0,66	1	0,45	0,69	0,73	0,56	0,79	0,25	0,13	0,22	0,24	0,04	0,34	0,86	0,54	0,19	0,4	0,15	1
oxfo	0,85	0,38	0,35	0,28	0,29	0,48	0,36	0,53	0,72	0,77	0,55	0,9	0,75	0,83	0,81	0,89	0,4	0,8	0,97	0,89	0,56	0,42
stir	0,91	0,99	0,87	0,65	0,12	0,98	0,82	0,88	0,99	0,62	0,62	0,49	0,25	0,47	0,62	0,2	0,05	0,29	0,75	0,56	0,17	0,57
york	0,41	0,71	0,86	0,96	0,83	0,56	0,95	0,94	0,98	0,81	0,56	0,99	0,53	0,73	0,66	0,96	0,85	0,96	0,45	0,59	0,3	0,12
