X0	F7	F3	Fz	F4	F8	FC5	FC1	FC2	FC6	C3	Cz	C4	CP5	CP1	CP2	CP6	P7	P3	Pz	P4	P8	Oz
birm	0,92	0,66	0,7	0,93	0,7	0,7	0,88	0,88	0,83	0,86	0,76	0,96	0,6	0,97	0,91	0,98	0,73	0,88	0,99	0,96	0,45	0,3
bris	0,4	0,48	0,18	0,2	0,61	0,49	0,17	0,07	0,12	0,08	0,05	0,01	0,02	0,03	0,01	0,01	0,01	0	0,01	0,01	0	0
edin	0,87	0,32	0,16	0,13	0,42	0,34	0,12	0,1	0,17	0,09	0,12	0,08	0,04	0,02	0,11	0,07	0,11	0,1	0,02	0,04	0,05	0,02
glas	0,91	0,14	0,26	0,14	0,19	0,59	0,12	0,07	0,08	0,13	0,07	0,05	0,07	0,03	0,04	0,01	0,02	0,02	0,09	0,04	0,03	0,02
kent	0,43	0,79	0,72	0,38	0,58	0,56	0,73	0,44	0,61	0,61	0,42	0,19	0,32	0,45	0,36	0,21	0,35	0,33	0,5	0,27	0,29	0,4
lond	0,53	0,22	0,15	0,23	0,48	0,35	0,16	0,16	0,31	0,06	0,2	0,18	0,07	0,24	0,2	0,09	0,16	0,14	0,1	0,04	0,01	0,09
oxfo	0,62	0,15	0,03	0,16	0,62	0,03	0,03	0,15	0,12	0,03	0,02	0,02	0,01	0	0	0	0,02	0,01	0	0,01	0,03	0
stir	0,69	0,19	0,16	0,08	0,94	0,27	0,11	0,2	0,42	0,17	0,18	0,29	0,15	0,15	0,23	0,2	0,17	0,14	0,22	0,19	0,08	0,12
york	0,98	0,14	0,06	0,07	0,12	0,17	0,05	0,08	0,1	0,05	0,03	0,06	0,01	0,03	0,04	0,04	0	0,02	0,04	0,02	0,02	0,01
