X0	F7	F3	Fz	F4	F8	FC5	FC1	FC2	FC6	C3	Cz	C4	CP5	CP1	CP2	CP6	P7	P3	Pz	P4	P8	Oz
birm	-0,03	-0,15	-0,24	-0,09	-0,01	-0,05	-0,05	0,02	0,07	-0,07	0,14	0,02	-0,19	0,03	0,11	-0,07	-0,16	-0,03	0,01	-0,06	0,16	0,28
bris	-0,39	0,08	0,18	0,32	0,11	0,05	0,38	0,48	0,41	0,34	0,54	0,69	0,45	0,5	0,6	0,66	0,58	0,57	0,56	0,67	0,87	0,71
edin	-0,12	0,06	0,34	0,32	0,27	0,11	0,32	0,44	0,27	0,32	0,38	0,41	0,34	0,52	0,41	0,4	0,39	0,28	0,4	0,47	0,56	0,51
glas	-0,05	0,32	0,14	0,32	0,35	0,01	0,28	0,37	0,45	0,35	0,4	0,51	0,35	0,46	0,5	0,62	0,54	0,56	0,46	0,59	0,68	0,61
kent	-0,37	-0,3	-0,05	0,17	-0,03	-0,27	0,02	0,2	0,28	0,02	0,28	0,36	0	0,25	0,27	0,35	0,07	0,23	0,29	0,4	0,39	0,62
lond	-0,13	0,38	0,29	0,33	0,21	0,26	0,22	0,35	0,39	0,54	0,5	0,43	0,48	0,47	0,56	0,57	0,24	0,41	0,49	0,6	0,69	0,57
oxfo	0,08	0,38	0,53	0,39	0,22	0,6	0,59	0,41	0,5	0,66	0,67	0,72	0,64	0,75	0,77	0,87	0,6	0,65	0,81	0,82	0,84	0,79
stir	-0,03	0,21	0,31	0,38	-0,24	0,17	0,45	0,48	0,3	0,34	0,53	0,43	0,29	0,46	0,46	0,39	0,35	0,4	0,41	0,39	0,3	0,39
york	0,05	0,42	0,51	0,53	0,46	0,44	0,56	0,57	0,55	0,58	0,66	0,62	0,65	0,64	0,64	0,63	0,73	0,64	0,62	0,64	0,7	0,69
