X0	F7	F3	Fz	F4	F8	FC5	FC1	FC2	FC6	C3	Cz	C4	CP5	CP1	CP2	CP6	P7	P3	Pz	P4	P8	Oz
birm	0,76	0,57	0,58	0,81	0,52	0,44	0,76	0,73	0,31	0,79	0,9	0,8	0,71	0,9	0,82	0,69	0,95	0,93	0,95	0,79	0,8	0,84
bris	0,1	0,18	0,15	0,6	0,83	0,18	0,53	0,74	0,87	0,32	0,81	0,98	0,12	0,58	0,83	0,99	0,16	0,31	0,78	0,67	0,98	0,81
edin	0,63	0,63	0,6	0,39	0,18	0,38	0,53	0,48	0,18	0,36	0,45	0,3	0,28	0,26	0,3	0,05	0,3	0,18	0,19	0,12	0,04	0,64
glas	0,72	0,5	0,61	0,5	0,35	0,4	0,78	0,8	0,37	0,68	0,82	0,78	0,57	0,65	0,66	0,63	0,71	0,79	0,53	0,76	0,86	0,57
kent	0,39	0,31	0,22	0,16	0,52	0,94	0,83	0,5	0,08	0,99	0,26	0,2	0,76	0,46	0,02	0,04	0,96	0,45	0,05	0,03	0,04	0,15
lond	0,83	0,88	0,76	0,38	0,24	0,59	0,77	0,86	0,88	0,38	0,3	0,34	0,63	0,22	0,24	0,86	0,73	0,98	0,43	0,72	0,45	0,66
oxfo	0,62	0,2	0,09	0,1	0,16	0,14	0,11	0,29	0,39	0,37	0,2	0,49	0,43	0,39	0,48	0,97	0,91	0,39	0,86	0,94	0,99	0,31
stir	0,23	0,73	0,61	0,41	0,4	0,44	0,99	0,66	0,72	0,57	0,98	0,77	0,46	0,92	0,72	0,94	0,63	0,87	0,64	0,64	0,63	0,85
york	0,27	0,56	0,73	0,92	0,87	0,63	0,95	0,85	0,84	0,66	0,7	0,95	0,53	0,93	0,74	0,9	0,84	0,99	0,56	0,59	0,2	0,21
