X0	F7	F3	Fz	F4	F8	FC5	FC1	FC2	FC6	C3	Cz	C4	CP5	CP1	CP2	CP6	P7	P3	Pz	P4	P8	Oz
birm	0,93	0,67	0,51	0,81	0,97	0,89	0,89	0,96	0,84	0,85	0,71	0,96	0,61	0,92	0,75	0,85	0,65	0,94	0,98	0,87	0,65	0,44
bris	0,26	0,83	0,62	0,37	0,76	0,88	0,28	0,16	0,24	0,33	0,11	0,03	0,19	0,14	0,07	0,04	0,08	0,08	0,1	0,03	0	0,02
edin	0,74	0,86	0,34	0,37	0,45	0,77	0,37	0,21	0,44	0,37	0,28	0,24	0,34	0,12	0,24	0,25	0,26	0,43	0,26	0,17	0,1	0,13
glas	0,89	0,37	0,71	0,37	0,31	0,98	0,43	0,29	0,19	0,33	0,25	0,13	0,32	0,18	0,15	0,06	0,1	0,09	0,18	0,08	0,03	0,06
kent	0,3	0,4	0,89	0,64	0,95	0,45	0,96	0,58	0,43	0,96	0,44	0,3	0,99	0,49	0,45	0,32	0,86	0,52	0,42	0,25	0,26	0,05
lond	0,72	0,28	0,42	0,36	0,57	0,46	0,53	0,32	0,26	0,11	0,14	0,22	0,16	0,17	0,09	0,08	0,51	0,24	0,15	0,07	0,03	0,08
oxfo	0,84	0,28	0,12	0,27	0,55	0,06	0,07	0,24	0,14	0,04	0,03	0,02	0,04	0,01	0,01	0	0,07	0,04	0	0	0	0,01
stir	0,93	0,56	0,38	0,27	0,51	0,65	0,19	0,16	0,4	0,34	0,11	0,21	0,42	0,18	0,18	0,26	0,32	0,26	0,24	0,27	0,39	0,27
york	0,89	0,22	0,14	0,11	0,18	0,2	0,09	0,09	0,1	0,08	0,04	0,06	0,04	0,05	0,05	0,05	0,02	0,04	0,05	0,05	0,02	0,03
