X0	F7	F3	Fz	F4	F8	FC5	FC1	FC2	FC6	C3	Cz	C4	CP5	CP1	CP2	CP6	P7	P3	Pz	P4	P8	Oz
birm	-0,12	-0,22	-0,21	-0,09	-0,25	-0,3	-0,12	-0,13	-0,38	-0,1	-0,05	-0,1	-0,14	-0,05	-0,09	-0,15	-0,03	-0,04	0,02	0,1	-0,1	-0,08
bris	0,58	0,49	0,52	0,2	-0,08	0,49	0,24	0,13	0,06	0,37	0,09	-0,01	0,55	0,21	-0,09	0	0,51	0,38	-0,11	-0,17	0,01	-0,09
edin	-0,19	-0,19	-0,2	-0,33	-0,49	-0,33	-0,24	-0,27	-0,49	-0,35	-0,29	-0,39	-0,4	-0,42	-0,39	-0,68	-0,39	-0,49	-0,48	-0,55	-0,7	-0,18
glas	0,14	0,26	0,2	0,26	0,35	0,32	0,11	0,1	0,34	0,16	-0,09	0,11	0,22	-0,17	-0,17	0,19	0,15	-0,1	-0,24	-0,12	0,07	-0,22
kent	0,33	0,38	0,45	0,51	-0,25	-0,03	0,09	-0,26	-0,61	0	-0,42	-0,47	0,12	-0,28	-0,74	-0,7	0,02	-0,29	-0,66	-0,73	-0,68	-0,52
lond	-0,08	-0,06	0,12	-0,33	-0,43	0,21	-0,11	-0,07	0,06	-0,33	-0,39	-0,36	0,19	-0,45	-0,44	-0,07	-0,14	-0,01	-0,3	-0,14	-0,29	-0,17
oxfo	0,19	0,47	0,6	0,59	0,51	0,53	0,57	0,4	0,33	0,34	0,47	0,27	0,3	0,33	0,27	0,02	-0,04	0,33	0,07	-0,03	-0,01	-0,38
stir	-0,44	-0,13	0,2	0,31	0,32	-0,3	-0,01	0,17	0,14	-0,22	-0,01	0,11	-0,29	-0,04	0,14	-0,03	-0,18	-0,07	0,18	0,18	-0,19	-0,07
york	0,41	0,23	0,13	0,04	0,06	0,19	0,02	0,08	-0,08	0,17	-0,15	0,03	0,24	-0,04	-0,13	0,05	-0,08	0	-0,23	-0,21	-0,47	-0,46
